order_id,expected_classification
ORD-0001,SETTLEMENT_MISSING
ORD-0002,PAYMENT_AMOUNT_MISMATCH
ORD-0003,SETTLEMENT_CURRENCY_MISMATCH
ORD-0004,PAYMENT_DUPLICATE
ORD-0005,PAYMENT_DUPLICATE
ORD-0006,PAYMENT_MISSING
ORD-0007,PAYMENT_DUPLICATE
ORD-0008,PAYMENT_CURRENCY_MISMATCH
ORD-0009,PAYMENT_CURRENCY_MISMATCH
ORD-0010,SETTLEMENT_CURRENCY_MISMATCH
ORD-0011,PAYMENT_FAILED
ORD-0012,PAYMENT_FAILED
ORD-0013,PAYMENT_CURRENCY_MISMATCH
ORD-0014,PAYMENT_MISSING
ORD-0015,SETTLEMENT_CURRENCY_MISMATCH
ORD-0016,PAYMENT_FAILED
ORD-0017,INVALID_RECORD
ORD-0018,PAYMENT_DUPLICATE
ORD-0019,INVALID_RECORD
ORD-0020,PAYMENT_AMOUNT_MISMATCH
ORD-0021,SETTLEMENT_CURRENCY_MISMATCH
ORD-0022,PAYMENT_FAILED
ORD-0023,SETTLEMENT_AMOUNT_MISMATCH
ORD-0024,SETTLEMENT_AMOUNT_MISMATCH
ORD-0025,PAYMENT_AMOUNT_MISMATCH
ORD-0026,PAYMENT_MISSING
ORD-0027,SETTLEMENT_AMOUNT_MISMATCH
ORD-0028,PAYMENT_AMOUNT_MISMATCH
ORD-0029,INVALID_RECORD
ORD-0030,PAYMENT_MISSING
ORD-0031,PAYMENT_AMOUNT_MISMATCH
ORD-0032,SETTLEMENT_MISSING
ORD-0033,PAYMENT_MISSING
ORD-0034,SETTLEMENT_AMOUNT_MISMATCH
ORD-0035,PAYMENT_FAILED
ORD-0036,PAYMENT_CURRENCY_MISMATCH
ORD-0037,PAYMENT_CURRENCY_MISMATCH
ORD-0038,PAYMENT_MISSING
ORD-0039,INVALID_RECORD
ORD-0040,INVALID_RECORD
ORD-0041,PAYMENT_AMOUNT_MISMATCH
ORD-0042,PAYMENT_DUPLICATE
ORD-0043,SETTLEMENT_MISSING
ORD-0044,SETTLEMENT_AMOUNT_MISMATCH
ORD-0045,SETTLEMENT_MISSING
ORD-0046,PAYMENT_FAILED
ORD-0047,SETTLEMENT_MISSING
ORD-0048,PAYMENT_DUPLICATE
ORD-0049,SETTLEMENT_CURRENCY_MISMATCH
ORD-0050,MATCHED
ORD-0051,MATCHED
ORD-0052,MATCHED
ORD-0053,MATCHED
ORD-0054,MATCHED
ORD-0055,MATCHED
ORD-0056,MATCHED
ORD-0057,MATCHED
ORD-0058,MATCHED
ORD-0059,MATCHED
ORD-0060,MATCHED
ORD-0061,MATCHED
ORD-0062,MATCHED
ORD-0063,MATCHED
ORD-0064,MATCHED
ORD-0065,MATCHED
ORD-0066,MATCHED
ORD-0067,MATCHED
ORD-0068,MATCHED
ORD-0069,MATCHED
ORD-0070,MATCHED
ORD-0071,MATCHED
ORD-0072,MATCHED
ORD-0073,MATCHED
ORD-0074,MATCHED
ORD-0075,MATCHED
ORD-0076,MATCHED
ORD-0077,MATCHED
ORD-0078,MATCHED
ORD-0079,MATCHED
ORD-0080,MATCHED
ORD-0081,MATCHED
ORD-0082,MATCHED
ORD-0083,MATCHED
ORD-0084,MATCHED
ORD-0085,MATCHED
ORD-0086,MATCHED
ORD-0087,MATCHED
ORD-0088,MATCHED
ORD-0089,MATCHED
ORD-0090,MATCHED
ORD-0091,MATCHED
ORD-0092,MATCHED
ORD-0093,MATCHED
ORD-0094,MATCHED
ORD-0095,MATCHED
ORD-0096,MATCHED
ORD-0097,MATCHED
ORD-0098,MATCHED
ORD-0099,MATCHED
ORD-0100,MATCHED
ORD-0101,MATCHED
ORD-0102,MATCHED
ORD-0103,MATCHED
ORD-0104,MATCHED
ORD-0105,MATCHED
ORD-0106,MATCHED
ORD-0107,MATCHED
ORD-0108,MATCHED
ORD-0109,MATCHED
ORD-0110,MATCHED
ORD-0111,MATCHED
ORD-0112,MATCHED
ORD-0113,MATCHED
ORD-0114,MATCHED
ORD-0115,MATCHED
ORD-0116,MATCHED
ORD-0117,MATCHED
ORD-0118,MATCHED
ORD-0119,MATCHED
ORD-0120,MATCHED
ORD-0121,MATCHED
ORD-0122,MATCHED
ORD-0123,MATCHED
ORD-0124,MATCHED
ORD-0125,MATCHED
ORD-0126,MATCHED
ORD-0127,MATCHED
ORD-0128,MATCHED
ORD-0129,MATCHED
ORD-0130,MATCHED
ORD-0131,MATCHED
ORD-0132,MATCHED
ORD-0133,MATCHED
ORD-0134,MATCHED
ORD-0135,MATCHED
ORD-0136,MATCHED
ORD-0137,MATCHED
ORD-0138,MATCHED
ORD-0139,MATCHED
ORD-0140,MATCHED
ORD-0141,MATCHED
ORD-0142,MATCHED
ORD-0143,MATCHED
ORD-0144,MATCHED
ORD-0145,MATCHED
ORD-0146,MATCHED
ORD-0147,MATCHED
ORD-0148,MATCHED
ORD-0149,MATCHED
ORD-0150,MATCHED
ORD-0151,MATCHED
ORD-0152,MATCHED
ORD-0153,MATCHED
ORD-0154,MATCHED
ORD-0155,MATCHED
ORD-0156,MATCHED
ORD-0157,MATCHED
ORD-0158,MATCHED
ORD-0159,MATCHED
ORD-0160,MATCHED
ORD-0161,MATCHED
ORD-0162,MATCHED
ORD-0163,MATCHED
ORD-0164,MATCHED
ORD-0165,MATCHED
ORD-0166,MATCHED
ORD-0167,MATCHED
ORD-0168,MATCHED
ORD-0169,MATCHED
ORD-0170,MATCHED
ORD-0171,MATCHED
ORD-0172,MATCHED
ORD-0173,MATCHED
ORD-0174,MATCHED
ORD-0175,MATCHED
ORD-0176,MATCHED
ORD-0177,MATCHED
ORD-0178,MATCHED
ORD-0179,MATCHED
ORD-0180,MATCHED
