payment_id,order_id,paid_amount,currency,payment_status,payment_method,payment_date
PAY-0001,ORD-0001,12137.0,INR,captured,card,2026-07-01T10:03:00
PAY-0002,ORD-0002,3171.0,INR,captured,netbanking,2026-07-02T10:03:00
PAY-0003,ORD-0003,18368.0,INR,captured,upi,2026-07-03T10:03:00
PAY-0004,ORD-0004,14140.0,INR,captured,netbanking,2026-07-04T10:03:00
PAY-0005,ORD-0005,13246.0,INR,captured,card,2026-07-05T10:03:00
PAY-0006,ORD-0006,13961.0,INR,captured,card,2026-07-06T10:03:00
PAY-0007,ORD-0007,17173.0,INR,captured,netbanking,2026-07-07T10:03:00
PAY-DUP-0007,ORD-0007,17173.0,INR,captured,netbanking,2026-07-07T10:03:00
PAY-0008,ORD-0008,7557.0,USD,captured,upi,2026-07-08T10:03:00
PAY-0009,ORD-0009,17369.0,INR,captured,upi,2026-07-09T10:03:00
PAY-0010,ORD-0010,14270.0,USD,captured,upi,2026-07-10T10:03:00
PAY-0011,ORD-0011,15997.0,INR,captured,upi,2026-07-11T10:03:00
PAY-0012,ORD-0012,15581.0,INR,failed,card,2026-07-12T10:03:00
PAY-0013,ORD-0013,18543.0,INR,captured,netbanking,2026-07-13T10:03:00
PAY-DUP-0013,ORD-0013,18543.0,INR,captured,netbanking,2026-07-13T10:03:00
PAY-0014,ORD-0014,10280.0,INR,captured,netbanking,2026-07-14T10:03:00
PAY-0015,ORD-0015,16646.0,INR,captured,card,2026-07-15T10:03:00
PAY-0016,ORD-0016,14390.0,INR,captured,card,2026-07-16T10:03:00
PAY-0017,ORD-0017,9015.0,INR,captured,upi,2026-07-17T10:03:00
PAY-0018,ORD-0018,19771.0,INR,failed,netbanking,2026-07-18T10:03:00
PAY-0019,ORD-0019,16240.0,INR,captured,upi,2026-07-19T10:03:00
PAY-0020,ORD-0020,8723.0,INR,captured,card,2026-07-20T10:03:00
PAY-DUP-0020,ORD-0020,8723.0,INR,captured,card,2026-07-20T10:03:00
PAY-0021,ORD-0021,15516.0,INR,captured,card,2026-07-21T10:03:00
PAY-0023,ORD-0023,1301.0,USD,captured,card,2026-07-23T10:03:00
PAY-0024,ORD-0024,15221.0,INR,captured,card,2026-07-24T10:03:00
PAY-0025,ORD-0025,17081.0,INR,failed,card,2026-07-25T10:03:00
PAY-0026,ORD-0026,6198.0,INR,captured,netbanking,2026-07-26T10:03:00
PAY-0027,ORD-0027,15900.0,INR,captured,netbanking,2026-07-27T10:03:00
PAY-DUP-0027,ORD-0027,15900.0,INR,captured,netbanking,2026-07-27T10:03:00
PAY-0029,ORD-0029,12328.0,USD,captured,upi,2026-07-02T10:03:00
PAY-0030,ORD-0030,13677.0,INR,captured,card,2026-07-03T10:03:00
PAY-0031,ORD-0031,684.0,INR,captured,upi,2026-07-04T10:03:00
PAY-0032,ORD-0032,14985.0,INR,captured,netbanking,2026-07-05T10:03:00
PAY-0034,ORD-0034,6714.0,INR,captured,upi,2026-07-07T10:03:00
PAY-0035,ORD-0035,1663.0,INR,captured,card,2026-07-08T10:03:00
PAY-0036,ORD-0036,11906.0,INR,failed,upi,2026-07-09T10:03:00
PAY-0038,ORD-0038,19305.0,INR,captured,card,2026-07-11T10:03:00
PAY-0039,ORD-0039,18084.0,INR,captured,card,2026-07-12T10:03:00
PAY-0040,ORD-0040,4499.0,INR,captured,netbanking,2026-07-13T10:03:00
PAY-0041,ORD-0041,16738.0,INR,captured,upi,2026-07-14T10:03:00
PAY-0042,ORD-0042,13889.0,INR,captured,upi,2026-07-15T10:03:00
PAY-0043,ORD-0043,4635.0,USD,captured,card,2026-07-16T10:03:00
PAY-0044,ORD-0044,16836.0,INR,captured,card,2026-07-17T10:03:00
PAY-0045,ORD-0045,17240.0,INR,failed,card,2026-07-18T10:03:00
PAY-0046,ORD-0046,663.0,INR,captured,card,2026-07-19T10:03:00
PAY-0047,ORD-0047,1883.0,INR,captured,netbanking,2026-07-20T10:03:00
PAY-DUP-0047,ORD-0047,1883.0,INR,captured,netbanking,2026-07-20T10:03:00
PAY-0049,ORD-0049,1038.0,INR,captured,card,2026-07-22T10:03:00
PAY-0050,ORD-0050,10150.0,INR,captured,card,2026-07-23T10:03:00
PAY-0051,ORD-0051,16504.0,INR,captured,netbanking,2026-07-24T10:03:00
PAY-0052,ORD-0052,5794.0,INR,captured,netbanking,2026-07-25T10:03:00
PAY-0053,ORD-0053,6982.0,INR,captured,netbanking,2026-07-26T10:03:00
PAY-0054,ORD-0054,15234.0,INR,captured,upi,2026-07-27T10:03:00
PAY-0055,ORD-0055,18135.0,INR,captured,upi,2026-07-01T10:03:00
PAY-0056,ORD-0056,5880.0,INR,captured,netbanking,2026-07-02T10:03:00
PAY-0057,ORD-0057,1779.0,INR,captured,netbanking,2026-07-03T10:03:00
PAY-0058,ORD-0058,16054.0,INR,captured,upi,2026-07-04T10:03:00
