settlement_id,payment_id,settled_amount,fee,tax,currency,settlement_status,settlement_date
SET-0003,PAY-0003,17934.52,367.36,66.12,USD,processed,2026-07-05T12:00:00
SET-0010,PAY-0010,16934.68,346.88,62.44,USD,processed,2026-07-12T12:00:00
SET-0015,PAY-0015,18105.39,370.86,66.75,USD,processed,2026-07-17T12:00:00
SET-0021,PAY-0021,19304.4,395.42,71.18,USD,processed,2026-07-23T12:00:00
SET-0023,PAY-0023,8532.14,174.46,31.4,INR,processed,2026-07-25T12:00:00
SET-0024,PAY-0024,15140.41,309.82,55.77,INR,processed,2026-07-26T12:00:00
SET-0027,PAY-0027,10341.41,211.52,38.07,INR,processed,2026-07-29T12:00:00
SET-0034,PAY-0034,13369.22,273.54,49.24,INR,processed,2026-07-09T12:00:00
SET-0044,PAY-0044,15342.53,313.96,56.51,INR,processed,2026-07-19T12:00:00
SET-0049,PAY-0049,12685.39,259.84,46.77,USD,processed,2026-07-24T12:00:00
SET-0050,PAY-0050,6488.18,132.9,23.92,INR,processed,2026-07-25T12:00:00
SET-0051,PAY-0051,3590.22,73.54,13.24,INR,processed,2026-07-26T12:00:00
SET-0052,PAY-0052,1838.56,37.66,6.78,INR,processed,2026-07-27T12:00:00
SET-0053,PAY-0053,11501.99,235.6,42.41,INR,processed,2026-07-28T12:00:00
SET-0054,PAY-0054,16524.59,338.48,60.93,INR,processed,2026-07-29T12:00:00
SET-0055,PAY-0055,9910.46,203.0,36.54,INR,processed,2026-07-03T12:00:00
SET-0056,PAY-0056,4078.42,83.54,15.04,INR,processed,2026-07-04T12:00:00
SET-0057,PAY-0057,18483.25,378.6,68.15,INR,processed,2026-07-05T12:00:00
SET-0058,PAY-0058,5118.29,104.84,18.87,INR,processed,2026-07-06T12:00:00
SET-0059,PAY-0059,6817.22,139.64,25.14,INR,processed,2026-07-07T12:00:00
SET-0060,PAY-0060,10958.14,224.46,40.4,INR,processed,2026-07-08T12:00:00
SET-0061,PAY-0061,7659.86,156.9,28.24,INR,processed,2026-07-09T12:00:00
SET-0062,PAY-0062,2418.54,49.54,8.92,INR,processed,2026-07-10T12:00:00
SET-0063,PAY-0063,1287.87,26.38,4.75,INR,processed,2026-07-11T12:00:00
SET-0064,PAY-0064,5741.23,117.6,21.17,INR,processed,2026-07-12T12:00:00
SET-0065,PAY-0065,17624.02,361.0,64.98,INR,processed,2026-07-13T12:00:00
SET-0066,PAY-0066,6226.5,127.54,22.96,INR,processed,2026-07-14T12:00:00
SET-0067,PAY-0067,849.47,17.4,3.13,INR,processed,2026-07-15T12:00:00
SET-0068,PAY-0068,17149.49,351.28,63.23,INR,processed,2026-07-16T12:00:00
SET-0069,PAY-0069,4600.8,94.24,16.96,INR,processed,2026-07-17T12:00:00
SET-0070,PAY-0070,6146.44,125.9,22.66,INR,processed,2026-07-18T12:00:00
SET-0071,PAY-0071,13804.34,282.76,50.9,INR,processed,2026-07-19T12:00:00
SET-0072,PAY-0072,2711.46,55.54,10.0,INR,processed,2026-07-20T12:00:00
SET-0073,PAY-0073,6184.52,126.68,22.8,INR,processed,2026-07-21T12:00:00
SET-0074,PAY-0074,8623.56,176.64,31.8,INR,processed,2026-07-22T12:00:00
SET-0075,PAY-0075,13495.8,276.44,49.76,INR,processed,2026-07-23T12:00:00
SET-0076,PAY-0076,5856.45,119.96,21.59,INR,processed,2026-07-24T12:00:00
SET-0077,PAY-0077,15617.52,319.9,57.58,INR,processed,2026-07-25T12:00:00
SET-0078,PAY-0078,17063.57,349.52,62.91,INR,processed,2026-07-26T12:00:00
SET-0079,PAY-0079,3220.17,65.96,11.87,INR,processed,2026-07-27T12:00:00
SET-0080,PAY-0080,351.5,7.2,1.3,INR,processed,2026-07-28T12:00:00
SET-0081,PAY-0081,10766.76,220.54,39.7,INR,processed,2026-07-29T12:00:00
SET-0082,PAY-0082,6032.2,123.56,22.24,INR,processed,2026-07-03T12:00:00
SET-0083,PAY-0083,5210.07,106.72,19.21,INR,processed,2026-07-04T12:00:00
SET-0084,PAY-0084,18506.69,379.08,68.23,INR,processed,2026-07-05T12:00:00
SET-0085,PAY-0085,3704.46,75.88,13.66,INR,processed,2026-07-06T12:00:00
SET-0086,PAY-0086,9168.4,187.8,33.8,INR,processed,2026-07-07T12:00:00
SET-0087,PAY-0087,7055.47,144.52,26.01,INR,processed,2026-07-08T12:00:00
SET-0088,PAY-0088,18202.05,372.84,67.11,INR,processed,2026-07-09T12:00:00
SET-0089,PAY-0089,17975.52,368.2,66.28,INR,processed,2026-07-10T12:00:00
SET-0090,PAY-0090,8632.35,176.82,31.83,INR,processed,2026-07-11T12:00:00
SET-0091,PAY-0091,5674.84,116.24,20.92,INR,processed,2026-07-12T12:00:00
SET-0092,PAY-0092,2128.55,43.6,7.85,INR,processed,2026-07-13T12:00:00
SET-0093,PAY-0093,6129.84,125.56,22.6,INR,processed,2026-07-14T12:00:00
SET-0094,PAY-0094,3596.08,73.66,13.26,INR,processed,2026-07-15T12:00:00
SET-0095,PAY-0095,9050.25,185.38,33.37,INR,processed,2026-07-16T12:00:00
SET-0096,PAY-0096,9506.23,194.72,35.05,INR,processed,2026-07-17T12:00:00
SET-0097,PAY-0097,8540.57,174.94,31.49,INR,processed,2026-07-18T12:00:00
SET-0098,PAY-0098,638.57,13.08,2.35,INR,processed,2026-07-19T12:00:00
SET-0099,PAY-0099,13457.72,275.66,49.62,INR,processed,2026-07-20T12:00:00
SET-0100,PAY-0100,3280.7,67.2,12.1,INR,processed,2026-07-21T12:00:00
SET-0101,PAY-0101,10110.62,207.1,37.28,INR,processed,2026-07-22T12:00:00
SET-0102,PAY-0102,18149.32,371.76,66.92,INR,processed,2026-07-23T12:00:00
SET-0103,PAY-0103,10272.7,210.42,37.88,INR,processed,2026-07-24T12:00:00
SET-0104,PAY-0104,1410.9,28.9,5.2,INR,processed,2026-07-25T12:00:00
SET-0105,PAY-0105,7093.55,145.3,26.15,INR,processed,2026-07-26T12:00:00
SET-0106,PAY-0106,13828.75,283.26,50.99,INR,processed,2026-07-27T12:00:00
SET-0107,PAY-0107,12165.94,249.2,44.86,INR,processed,2026-07-28T12:00:00
SET-0108,PAY-0108,8243.75,168.86,30.39,INR,processed,2026-07-29T12:00:00
SET-0109,PAY-0109,11594.75,237.5,42.75,INR,processed,2026-07-03T12:00:00
SET-0110,PAY-0110,14168.54,290.22,52.24,INR,processed,2026-07-04T12:00:00
SET-0111,PAY-0111,10770.67,220.62,39.71,INR,processed,2026-07-05T12:00:00
SET-0112,PAY-0112,4108.69,84.16,15.15,INR,processed,2026-07-06T12:00:00
SET-0113,PAY-0113,10397.68,212.98,38.34,INR,processed,2026-07-07T12:00:00
SET-0114,PAY-0114,17541.03,359.3,64.67,INR,processed,2026-07-08T12:00:00
SET-0115,PAY-0115,18139.56,371.56,66.88,INR,processed,2026-07-09T12:00:00
SET-0116,PAY-0116,3797.22,77.78,14.0,INR,processed,2026-07-10T12:00:00
SET-0117,PAY-0117,4120.41,84.4,15.19,INR,processed,2026-07-11T12:00:00
SET-0118,PAY-0118,4216.1,86.36,15.54,INR,processed,2026-07-12T12:00:00
SET-0119,PAY-0119,19293.66,395.2,71.14,INR,processed,2026-07-13T12:00:00
SET-0120,PAY-0120,9864.57,202.06,36.37,INR,processed,2026-07-14T12:00:00
SET-0121,PAY-0121,18692.2,382.88,68.92,INR,processed,2026-07-15T12:00:00
SET-0122,PAY-0122,13482.13,276.16,49.71,INR,processed,2026-07-16T12:00:00
SET-0123,PAY-0123,7851.23,160.82,28.95,INR,processed,2026-07-17T12:00:00
SET-0124,PAY-0124,7219.5,147.88,26.62,INR,processed,2026-07-18T12:00:00
SET-0125,PAY-0125,17565.44,359.8,64.76,INR,processed,2026-07-19T12:00:00
SET-0126,PAY-0126,17514.66,358.76,64.58,INR,processed,2026-07-20T12:00:00
SET-0127,PAY-0127,12892.39,264.08,47.53,INR,processed,2026-07-21T12:00:00
